;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_learning_rate;param_max_depth;param_n_estimators;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
20;5,869094229;0,130718724;0,001601744;0,000490408;0,001;5;10;{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 10};0,010817019;0,009679964;0,010781512;0,010585201;-0,003948116;0,007583116;0,005780423;69;-5,95762951;-6,480119624;-6,533495784;-6,302423747;-5,410499679;-6,136833669;0,415278545;69
6;57,24729133;0,59472084;0,002602577;0,000490369;0,0001;5;100;{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 100};0,010795973;0,00964449;0,010839147;0,010595517;-0,003992877;0,00757645;0,005800886;70;-5,957692888;-6,480235684;-6,533305448;-6,30239089;-5,410620291;-6,13684904;0,415211102;70
16;3,765103579;0,130764513;0,001401186;0,000490466;0,001;3;10;{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 10};0,008613193;0,006507351;0,008287585;0,008242751;-0,006028713;0,005124433;0,005625051;71;-5,964262397;-6,490491257;-6,541726425;-6,309879864;-5,416103179;-6,144492624;0,416628565;71
2;35,87387147;0,630781636;0,002002048;2,34E-07;0,0001;3;100;{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 100};0,008609264;0,006502895;0,008281226;0,008238117;-0,006033362;0,005119628;0,005624959;72;-5,964274216;-6,490505813;-6,541747397;-6,309894604;-5,416115693;-6,144507545;0,416630754;72
13;56,84199634;3,022425595;0,003403139;0,000800514;0,0001;9;50;{'learning_rate': 0.0001, 'max_depth': 9, 'n_estimators': 50};0,005961837;0,004067097;0,005963986;0,005584583;-0,009399172;0,002435666;0,005958583;73;-5,972232456;-6,498457461;-6,549385628;-6,318330266;-5,425168274;-6,152714817;0,416223988;73
9;40,12982616;0,309399752;0,002602386;0,00049031;0,0001;7;50;{'learning_rate': 0.0001, 'max_depth': 7, 'n_estimators': 50};0,005783494;0,003794592;0,00563439;0,005479983;-0,01028236;0,00208202;0,00622378;74;-5,97276818;-6,499346447;-6,55047134;-6,318662561;-5,427541166;-6,153757939;0,415729375;74
5;28,74745727;0,372959932;0,002001858;1,17E-07;0,0001;5;50;{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 50};0,005327932;0,003179179;0,004856441;0,004949991;-0,010227097;0,001617289;0,005968197;75;-5,974136419;-6,501353646;-6,553033243;-6,320345984;-5,42739272;-6,155252402;0,416618357;75
1;19,01753092;1,089628919;0,002802467;0,000749055;0,0001;3;50;{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 50};0,004223451;0,00159538;0,003708576;0,003765376;-0,011222755;0,000414006;0,005889102;76;-5,97745233;-6,506516435;-6,556811506;-6,324107077;-5,430066622;-6,158990794;0,417273397;76
12;12,0586154;0,822205685;0,002001715;2,78E-07;0,0001;9;10;{'learning_rate': 0.0001, 'max_depth': 9, 'n_estimators': 10};0,00102006;-0,001886035;0,00022831;0,000515211;-0,015047279;-0,003033947;0,006087884;77;-5,987059277;-6,517850604;-6,568253719;-6,334414715;-5,440325401;-6,169580743;0,417739085;77
8;8,196813202;0,044237849;0,001601553;0,000490446;0,0001;7;10;{'learning_rate': 0.0001, 'max_depth': 7, 'n_estimators': 10};0,001002337;-0,001919562;0,000165529;0,00049152;-0,015215485;-0,003095132;0,006141175;78;-5,987112385;-6,517959659;-6,568459942;-6,334489787;-5,440776148;-6,169759584;0,417640553;78
4;6,137143612;0,301888902;0,001801825;0,000400472;0,0001;5;10;{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 10};0,000907079;-0,002039588;2,11E-05;0,000380198;-0,015213049;-0,003188853;0,006094598;79;-5,987397826;-6,518350061;-6,56893436;-6,334842535;-5,440769619;-6,17005888;0,417801373;79
0;3,490548468;0,109872719;0,002001953;1,78E-07;0,0001;3;10;{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 10};0,000681242;-0,002366251;-0,000176793;0,000150252;-0,015414061;-0,003425122;0,006083634;80;-5,98807449;-6,519412458;-6,569584298;-6,335571108;-5,441308228;-6,170790116;0,417912894;80
